Date Time,Event,Ticker,Expected,Actual,Surprise,Prior
01/10/2020 13:30,Unemployment Rate,UNRATE,3.50%,3.50%,0,3.50%
01/14/20 13:30,CPI MoM,CPI_MoM,0.30%,0.20%,-1.67,0.30%
01/29/20 19:00,FOMC Rate Decision (Upper Bound),INTR,1.75%,1.75%,0,1.75%
01/30/20 13:30,GDP Annualized QoQ,GDP_QoQ,2.00%,2.10%,0.32,2.10%
01/31/20 13:30,PCE Price Index MoM,PCE_MoM,0.20%,0.30%,2.68,0.20%
02/07/2020 13:30,Unemployment Rate,UNRATE,3.50%,3.60%,3.02,3.50%
02/13/20 13:30,CPI MoM,CPI_MoM,0.20%,0.10%,-1.55,0.20%
02/27/20 13:30,GDP Annualized QoQ,GDP_QoQ,2.10%,2.10%,0,2.10%
02/28/20 13:30,PCE Price Index MoM,PCE_MoM,0.20%,0.10%,-1.8,0.30%
03/03/2020 15:00,FOMC Rate Decision (Upper Bound),INTR,1.50%,1.25%,-2.02,1.75%
03/06/2020 13:30,Unemployment Rate,UNRATE,3.60%,3.50%,-1.83,3.60%
03/11/2020 12:30,CPI MoM,CPI_MoM,0.00%,0.10%,1.55,0.10%
03/15/20 21:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,1.25%
03/26/20 12:30,GDP Annualized QoQ,GDP_QoQ,2.10%,2.10%,0,2.10%
03/27/20 12:30,PCE Price Index MoM,PCE_MoM,0.10%,0.10%,0,0.10%
04/03/2020 13:30,Unemployment Rate,UNRATE,3.80%,4.40%,1.61,3.50%
04/10/2020 13:30,CPI MoM,CPI_MoM,-0.30%,-0.40%,-0.68,0.10%
04/29/20 13:30,GDP Annualized QoQ,GDP_QoQ,-4.00%,-4.80%,-0.4,2.10%
04/29/20 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
04/30/20 13:30,PCE Price Index MoM,PCE_MoM,-0.30%,-0.30%,0,0.10%
05/08/2020 13:30,Unemployment Rate,UNRATE,16.00%,14.70%,-0.75,4.40%
05/12/2020 13:30,CPI MoM,CPI_MoM,-0.80%,-0.80%,0,-0.40%
05/28/20 13:30,GDP Annualized QoQ,GDP_QoQ,-4.80%,-5.00%,-0.67,-4.80%
05/29/20 13:30,PCE Price Index MoM,PCE_MoM,-0.60%,-0.50%,0.51,-0.30%
06/05/2020 13:30,Unemployment Rate,UNRATE,19.00%,13.30%,-4.31,14.70%
06/10/2020 13:30,CPI MoM,CPI_MoM,0.00%,-0.10%,-0.98,-0.80%
06/10/2020 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
06/25/20 13:30,GDP Annualized QoQ,GDP_QoQ,-5.00%,-5.00%,0,-5.00%
06/26/20 13:30,PCE Price Index MoM,PCE_MoM,0.00%,0.10%,1.26,-0.50%
07/02/2020 13:30,Unemployment Rate,UNRATE,12.50%,11.10%,-1.47,13.30%
07/14/20 13:30,CPI MoM,CPI_MoM,0.50%,0.60%,0.85,-0.10%
07/29/20 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
07/30/20 13:30,GDP Annualized QoQ,GDP_QoQ,-34.50%,-32.90%,0.52,-5.00%
07/31/20 13:30,PCE Price Index MoM,PCE_MoM,0.40%,0.40%,-0.44,0.10%
08/07/2020 13:30,Unemployment Rate,UNRATE,10.60%,10.20%,-0.73,11.10%
08/12/2020 13:30,CPI MoM,CPI_MoM,0.30%,0.60%,3.61,0.60%
08/27/20 13:30,GDP Annualized QoQ,GDP_QoQ,-32.50%,-31.70%,1.05,-32.90%
08/28/20 13:30,PCE Price Index MoM,PCE_MoM,0.40%,0.30%,-1.48,0.40%
09/04/2020 13:30,Unemployment Rate,UNRATE,9.80%,8.40%,-5.51,10.20%
09/11/2020 13:30,CPI MoM,CPI_MoM,0.30%,0.40%,1.24,0.60%
09/16/20 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
09/30/20 13:30,GDP Annualized QoQ,GDP_QoQ,-31.70%,-31.40%,0.88,-31.70%
10/01/2020 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.30%,0,0.30%
10/02/2020 13:30,Unemployment Rate,UNRATE,8.20%,7.90%,-1.27,8.40%
10/13/20 13:30,CPI MoM,CPI_MoM,0.20%,0.20%,0,0.40%
10/29/20 12:30,GDP Annualized QoQ,GDP_QoQ,32.00%,33.10%,0.35,-31.40%
10/30/20 12:30,PCE Price Index MoM,PCE_MoM,0.20%,0.20%,0,0.30%
11/05/2020 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
11/06/2020 13:30,Unemployment Rate,UNRATE,7.60%,6.90%,-2.96,7.90%
11/12/2020 13:30,CPI MoM,CPI_MoM,0.10%,0.00%,-1.77,0.20%
11/25/20 13:30,GDP Annualized QoQ,GDP_QoQ,33.10%,33.10%,0,33.10%
11/25/20 15:00,PCE Price Index MoM,PCE_MoM,0.00%,0.00%,0,0.20%
12/04/2020 13:30,Unemployment Rate,UNRATE,6.70%,6.70%,0,6.90%
12/10/2020 13:30,CPI MoM,CPI_MoM,0.10%,0.20%,1.77,0.00%
12/16/20 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
12/22/20 13:30,GDP Annualized QoQ,GDP_QoQ,33.10%,33.40%,2.27,33.10%
12/23/20 13:30,PCE Price Index MoM,PCE_MoM,0.10%,0.00%,-1.46,0.00%
01/08/2021 13:30,Unemployment Rate,UNRATE,6.80%,6.70%,-0.84,6.70%
01/13/21 13:30,CPI MoM,CPI_MoM,0.40%,0.40%,0,0.20%
01/27/21 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
01/28/21 13:30,GDP Annualized QoQ,GDP_QoQ,4.20%,4.00%,-0.21,33.40%
01/29/21 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.40%,1.16,0.00%
02/05/2021 13:30,Unemployment Rate,UNRATE,6.70%,6.30%,-4.7,6.70%
02/10/2021 13:30,CPI MoM,CPI_MoM,0.30%,0.30%,0,0.40%
02/25/21 13:30,GDP Annualized QoQ,GDP_QoQ,4.20%,4.10%,-0.64,4.00%
02/26/21 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.30%,0,0.40%
03/05/2021 13:30,Unemployment Rate,UNRATE,6.30%,6.20%,-1.19,6.30%
03/10/2021 13:30,CPI MoM,CPI_MoM,0.40%,0.40%,0,0.30%
03/17/21 18:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
03/25/21 12:30,GDP Annualized QoQ,GDP_QoQ,4.10%,4.30%,1.55,4.10%
